nm	002 Rose Pink	003 Lavender Tint	004 Medium Bastard Amber	007 Pale Yellow	008 Dark Salmon	009 Pale Amber Gold	010 Medium Yellow	013 Straw Tint	015 Deep Straw	017 Surprise Peach
610.0	8.01E-1	7.89E-1	8.913E-1	8.848E-1	8.257E-1	8.7E-1	8.951E-1	8.665E-1	8.475E-1	3.296E-1
615.0	8.382E-1	7.839E-1	8.921E-1	8.818E-1	8.305E-1	8.839E-1	8.876E-1	8.654E-1	8.408E-1	3.388E-1
620.0	8.637E-1	7.762E-1	8.918E-1	8.822E-1	8.325E-1	8.945E-1	8.884E-1	8.654E-1	8.515E-1	3.497E-1
625.0	8.797E-1	7.734E-1	8.895E-1	8.867E-1	8.405E-1	9.007E-1	8.95E-1	8.67E-1	8.74E-1	3.6E-1
630.0	8.893E-1	7.744E-1	8.914E-1	8.88E-1	8.517E-1	8.965E-1	9.013E-1	8.666E-1	8.94E-1	3.715E-1
635.0	8.921E-1	7.88E-1	8.968E-1	8.896E-1	8.687E-1	8.907E-1	9.115E-1	8.673E-1	9.055E-1	3.86E-1
640.0	8.945E-1	8.088E-1	9.011E-1	8.858E-1	8.806E-1	8.786E-1	9.144E-1	8.724E-1	9.023E-1	3.97E-1
645.0	8.936E-1	8.299E-1	9.025E-1	8.8E-1	8.896E-1	8.695E-1	9.124E-1	8.776E-1	8.884E-1	4.023E-1
650.0	8.949E-1	8.5E-1	9.038E-1	8.77E-1	8.904E-1	8.667E-1	9.084E-1	8.855E-1	8.757E-1	3.945E-1
655.0	8.959E-1	8.676E-1	9.059E-1	8.776E-1	8.852E-1	8.663E-1	9.044E-1	8.906E-1	8.693E-1	3.696E-1
660.0	8.957E-1	8.778E-1	9.018E-1	8.826E-1	8.773E-1	8.705E-1	8.997E-1	8.95E-1	8.722E-1	3.234E-1
665.0	8.958E-1	8.852E-1	9.005E-1	8.917E-1	8.72E-1	8.77E-1	8.975E-1	8.977E-1	8.846E-1	2.695E-1
670.0	8.971E-1	8.875E-1	8.997E-1	9.058E-1	8.709E-1	8.897E-1	8.967E-1	8.978E-1	9.011E-1	2.345E-1
675.0	8.987E-1	8.937E-1	8.984E-1	9.205E-1	8.753E-1	8.976E-1	8.989E-1	8.952E-1	9.151E-1	2.244E-1
680.0	8.973E-1	8.956E-1	8.991E-1	9.275E-1	8.808E-1	9.043E-1	8.976E-1	8.892E-1	9.184E-1	2.409E-1
685.0	8.994E-1	9.011E-1	9.014E-1	9.288E-1	8.898E-1	9.076E-1	8.966E-1	8.89E-1	9.12E-1	2.933E-1
690.0	9.009E-1	9.04E-1	9.041E-1	9.251E-1	8.982E-1	9.094E-1	8.986E-1	8.906E-1	9.003E-1	3.773E-1
695.0	8.985E-1	9.064E-1	9.047E-1	9.157E-1	9.013E-1	9.075E-1	8.977E-1	8.918E-1	8.881E-1	4.682E-1
700.0	8.991E-1	9.084E-1	9.023E-1	9.07E-1	9.04E-1	9.059E-1	8.965E-1	8.951E-1	8.782E-1	5.479E-1
